Dept,Project,Budget
政府統計處,2016年中期人口統計的電腦設備和服務,37846
懲教署,推行綜合懲教及更生管理系統,740
香港海關,應課稅品系統發展計劃,8250
香港海關,海關資訊及風險管理系統,11301
律政司,建立經核實、經認證及可檢索的香港法例電子資料庫,15401
消防處,開發資產管理及保養系統,9333
消防處,開發電腦系統以提供調派後指引,660
政府物流服務署,更換採購管理系統,335
政府物流服務署,更換採購及合約管理系統和常備庫存物料系統,553
政府總部：教育局,教育資訊系統基礎設施改善計劃,90765
政府總部：教育局,提升網上學校行政及管理系统,5254
政府總部：政府資訊科技總監辦公室,在政府場地提供Wi-Fi無線上網設施,10010
政府總部：政府資訊科技總監辦公室,為電子政府服務提供新的系統託管基建設施,876
政府總部：政府資訊科技總監辦公室,構建政府雲端平台,25410
政府總部：政府資訊科技總監辦公室,Wi-Fi連通城市,7750
香港警務處,電腦輔助掌紋及指紋鑑證系統,3547
香港警務處,發展第三代重大事件調查及災難支援工作系統,33871
香港警務處,重新發展人事資訊通用系統,5413
香港警務處,發展第二代通用資訊系統,147185
香港警務處,採用虛擬工作站改善資訊科技基建設施(初步推行計劃),21089
香港警務處,遷移第三代警務處姓名索引電腦系統、拘捕程序系統及第三代刑事情報電腦系統的共用平台,3232
香港警務處,提升警務處資訊科技基建設施及應用系統,71947
入境事務處,香港特別行政區身份證,160
入境事務處,深港西部通道新管制站電腦系統,582
入境事務處,推行全新資訊系統策略第III期計劃,5642
入境事務處,提升電腦系統以處理電子往來港澳通行證及擴展e-道服務,11558
入境事務處,新資訊科技基建設施,29100
入境事務處,新出入境管制系統,313544
入境事務處,港珠澳大橋香港口岸新管制站裝設的電腦系統,367
入境事務處,新一代智能身份證系統,19636
入境事務處,新一代電子護照系統,665
廉政公署,廉政公署新總部大樓的資訊科技整合與應用工程計劃,2000
廉政公署,推行新一代的執行處資訊系統,20981
稅務局,推行系統基礎設施改善計劃,41492
知識產權署,重新建立知識產權署的電子處理系統、電子提交系統和網上檢索系統,10759
司法機構,於西九龍法院大樓配備資訊科技基礎設施與數碼錄音及謄寫服務系統,30224
司法機構,推行司法機構資訊科技策略計劃,118461
地政總署,更換電腦化土地信息系統,153
康樂及文化事務署,為香港公共圖書館更換圖書館電腦化系統,2387
康樂及文化事務署,香港公共圖書館多媒體資訊系統主要提升計劃,658
社會福利署,更換社會保障電腦系統,54580
社會福利署,建立新一代資訊科技基建,29509
運輸署,開發交通及事故管理系統,24120
運輸署,提升車輛牌照及駕駛執照綜合資料電腦系統的基本設施,17001
運輸署,提升運輸資料系統,600
在職家庭及學生資助事務處,綜合學生資助系統,2700
在職家庭及學生資助事務處,為在職家庭津貼辦事處設立資訊科技系統和辦公室自動化設施,6975
